,Unnamed: 0,mjd,ra,decl,band,exposure_time,reward,seeing,clouds,lst,az,alt,zd,ha,airmass,sun_ra,sun_decl,sun_az,sun_alt,sun_zd,sun_ha,moon_ra,moon_decl,moon_az,moon_alt,moon_zd,moon_ha,moon_airmass,moon_phase,moon_illu,moon_Vmag,moon_angle,sky_mag,fwhm,tau,teff,slew
0,0,59465.10114961304,40.0,0,g,300.0,0.9965277777777778,0.9,0.0,261.2896690701946,54.45283081888619,-36.247495901228056,126.24749590122806,221.28966907019458,0.0,166.53188053647844,5.765596258169477,277.2044074736401,-0.0005532481912878556,90.00055324819128,94.75778853371614,180.29649928795698,3.9337694497587967,267.23670190630685,9.647136637116484,80.35286336288351,80.9931697822376,5.774298591555109,2.887544523913947,0.016048518903936437,-5.36058263434666,140.13104596512915,0.0,0.0,0.0,0.0,0.000787037037037037
1,1,59465.10809405748,40.0,0,g,300.0,0.9965277777777778,0.9,0.0,263.79651384368645,56.79688219520731,-34.623470021692846,124.62347002169284,223.79651384368645,0.0,166.53813157484063,5.76298741041848,278.7565687834796,-1.945835970460475,91.94583597046048,97.25838226884582,180.3799160601815,3.8894897316296175,268.7135127937943,7.718853609363804,82.2811463906362,83.41659778350495,7.0869354894692975,2.8860573217695817,0.016235938977632813,-5.368748641167214,140.21761849463294,0.0,0.0,0.0,0.0,0.000787037037037037
2,2,59465.11503850192,40.0,0,g,300.0,0.9965277777777778,0.9,0.0,266.3033586145516,59.049629042058385,-32.95621138678361,122.95621138678361,226.3033586145516,0.0,166.54438257660297,5.760378485413851,280.32066406007425,-3.8830003977782646,93.88300039777826,99.75897603794863,180.46470414056202,3.845234016881058,270.18154097250675,5.790585979479504,84.2094140205205,85.83865447398958,9.13829381439593,2.8845688293871854,0.01642459301703625,-5.377046255863329,140.3055315371481,0.0,0.0,0.0,0.0,0.000787037037037037
3,3,59465.12198294635,40.0,0,g,300.0,0.9965277777777778,0.9,0.0,268.8102033827902,61.21784717204179,-31.249902709188667,121.24990270918866,228.81020338279018,0.0,166.5506335417856,5.7577694831887225,281.900275819858,-5.810526863054467,95.81052686305446,102.25956984100458,180.55086700879713,3.8010064699217234,271.6441356292745,3.863561785572756,86.13643821442724,88.25933637399305,12.707693300152364,2.883079066190319,0.016614480908081375,-5.385475051293501,140.39478844268422,0.0,0.0,0.0,0.0,0.000787037037037037
4,4,59465.12892739079,40.0,0,g,300.0,0.9965277777777778,0.9,0.0,271.3170481536553,63.30816352848053,-29.50837840834879,119.50837840834879,231.31704815365532,0.0,166.55688447042346,5.755160403770059,283.49903272568577,-7.7268377970456825,97.72683779704568,104.76016368323187,180.6384056713191,3.7568110729990885,273.1045784058674,1.9389916767057795,88.06100832329422,90.67864248233622,19.97345900634405,2.881588051154728,0.016805602536134334,-5.394034354303194,140.48539012020083,0.0,0.0,0.0,0.0,0.000787037037037037
5,5,59465.13587183523,40.0,0,g,300.0,0.9965277777777778,0.9,0.0,273.8238929245222,65.32699588524423,-27.735152287630022,117.73515228763003,233.82389292452223,0.0,166.56313536252753,5.752551247194819,285.1206282203296,-9.630284994789355,99.63028499478935,107.2607575619947,180.7273186731772,3.7126516216105996,274.56610564673184,0.0180791946474894,89.98192080535252,93.09657425134503,38.29531801709963,2.8800958029259314,0.01699795777231955,-5.4027232492145645,140.57733504786373,0.0,0.0,0.0,0.0,0.000787037037037037
6,6,59465.14281627967,40.0,0,g,300.0,0.9965277777777778,0.9,0.0,276.33073769801246,67.28051544581027,-25.933445811920674,115.93344581192068,236.33073769801246,0.0,166.56938621812853,5.7499420134917445,286.76883787267604,-11.51913641341182,101.51913641341181,109.76135147988393,180.81760212373732,3.6685317160701056,276.0319297897681,-1.897969190744486,91.89796919074449,95.51313557427514,0.0,2.878602339681094,0.017191546492582088,-5.411540582736034,140.67061929737628,0.0,0.0,0.0,0.0,0.000787037037037037
7,7,59465.1497607241,40.0,0,g,300.0,0.9965277777777778,0.9,0.0,278.83758246625257,69.17462708205838,-24.106216065344434,114.10621606534443,238.83758246625257,0.0,166.57563703722275,5.747332702703968,288.44753515369035,-13.391562364579324,103.39156236457933,112.26194542902982,180.90924971089083,3.624454760934663,277.50526001428074,-3.807934127155959,93.80793412715596,97.92833275536174,0.0,2.8771076792596593,0.017386368562222698,-5.420484967656531,140.76523654628883,0.0,0.0,0.0,0.0,0.000787037037037037
8,8,59465.15670516854,40.0,0,g,300.0,0.9965277777777778,0.9,0.0,281.34442723711777,71.014962958636,-22.25618270932492,112.25618270932492,241.34442723711777,0.0,166.58188781985393,5.744723314854749,290.1607053217244,-15.24562107931056,105.24562107931055,114.76253941726384,181.00225274063985,3.5804239553051085,278.98932225809114,-5.710573415386003,95.71057341538601,100.34217449647792,0.0,2.875611839099718,0.01758242384540387,-5.429554789140336,140.86117811630658,0.0,0.0,0.0,0.0,0.000787037037037037
9,9,59465.16364961298,40.0,0,g,300.0,0.9965277777777778,0.9,0.0,283.8512720079813,72.80688599913455,-20.385853628301966,110.38585362830196,243.85127200798132,0.0,166.5881385660318,5.742113849981609,291.9124568432275,-17.079243523774917,107.07924352377492,117.26313344194952,181.09660015742375,3.5364422942488987,280.48737866604955,-7.604611860135811,97.6046118601358,102.75467185055757,0.0,2.8741148363108557,0.017779712196898834,-5.4387482089899395,140.95843299160592,0.0,0.0,0.0,0.0,0.000787037037037037
