,mjd,ra,decl,band,exposure_time,reward
49,59465.433881094265,80.0,0,g,300.0,381.24147674982373
50,59465.4408255387,80.0,0,g,300.0,246.44284698265852
51,59465.44665887203,320.0,0,g,300.0,325.3317451601129
52,59465.45360331647,320.0,0,g,300.0,584.0065576271704
53,59465.46054776091,320.0,0,g,300.0,1068.9325908878436
54,59465.467168131276,120.0,0,g,300.0,2729436.9937082487
55,59465.474112575714,120.0,0,g,300.0,450650.1155326691
56,59465.48105702015,120.0,0,g,300.0,115252.79129016855
57,59465.48800146459,120.0,0,g,300.0,40853.999394163155
58,59465.49462183496,320.0,0,g,300.0,25689.155108313607
59,59465.501566279396,320.0,0,g,300.0,61840.11793402396
60,59465.508510723834,320.0,0,g,300.0,197351.08142247316
61,59465.51545516827,320.0,0,g,300.0,945647.9624262502
62,59465.52207553864,120.0,0,g,300.0,1665.7405447818103
63,59465.52901998308,120.0,0,g,300.0,1056.6743068072872
64,59465.535964427516,120.0,0,g,300.0,670.5190853010275
65,59465.542908871954,120.0,0,g,300.0,431.5361392998058
66,59465.54874220528,0.0,0,g,300.0,441.4940304368115
67,59465.55568664972,0.0,0,g,300.0,587.7422847066881
68,59465.56263109416,0.0,0,g,300.0,850.6488509079181
69,59465.5695755386,0.0,0,g,300.0,1274.8409620865534
70,59465.576195908965,160.0,0,g,300.0,5174075.4898524955
71,59466.10007277224,160.0,0,g,300.0,709640.2453040798
72,59466.10669314261,320.0,0,g,300.0,223.9447756516505
73,59466.11095240187,0.0,0,g,300.0,164.2764510014822
74,59466.11789684631,0.0,0,g,300.0,165.81398250248344
75,59466.124517216675,200.0,0,g,300.0,1424.267746803687
76,59466.13113758704,0.0,0,g,300.0,3225927.0576930256
77,59466.13808203148,0.0,0,g,300.0,507838.5747115553
78,59466.14502647592,0.0,0,g,300.0,126105.580090328
79,59466.15197092036,0.0,0,g,300.0,44091.821714470156
80,59466.158915364795,0.0,0,g,300.0,19071.634720522885
81,59466.16585980923,0.0,0,g,300.0,9516.479331480665
82,59466.17280425367,0.0,0,g,300.0,5270.637369765901
83,59466.17942462404,200.0,0,g,300.0,925036.6528017294
84,59466.18604499441,0.0,0,g,300.0,2084.137103042999
85,59466.192989438845,0.0,0,g,300.0,1451.0925804109747
86,59466.19993388328,0.0,0,g,300.0,1051.0319370503084
87,59466.20687832772,0.0,0,g,300.0,804.1156662625347
88,59466.21382277216,0.0,0,g,300.0,647.0320209275176
89,59466.21965610549,240.0,0,g,300.0,608.7813766939557
90,59466.226600549926,240.0,0,g,300.0,830.6183683441126
