,Unnamed: 0,mjd,ra,decl,band,exposure_time,reward,seeing,clouds,lst,az,alt,zd,ha,airmass,sun_ra,sun_decl,sun_az,sun_alt,sun_zd,sun_ha,moon_ra,moon_decl,moon_az,moon_alt,moon_zd,moon_ha,moon_airmass,moon_phase,moon_illu,moon_Vmag,moon_angle,sky_mag,fwhm,tau,teff,slew
10,10,59465.16818665003,200.0,0,g,300.0,60761.647912745786,0.9,0.0,285.48907726444395,266.9447900051268,3.6854391011644805,86.31456089883552,85.48907726444395,13.170045314636035,166.59222236720532,5.7404089580073485,293.0797916208773,-18.265122502094226,108.26512250209423,118.89685489723863,181.1589602644388,3.5077354903731632,281.475248704387,-8.836777351953897,98.8367773519539,104.33011700000515,0.0,2.87313617457011,0.01790927315004398,-5.444820357884856,19.148525817398667,22.496620321014415,4.293864276187868,0.053767347701271354,16.130204310381405,0.0031481481481481486
11,11,59465.1748070204,0.0,0,g,300.0,5441.565861639984,0.9,0.0,287.8789359474379,101.02141848311652,13.80318100037812,76.19681899962188,287.8789359474379,4.122370889630901,166.598181355296,5.7379211485367145,294.8184538223016,-19.97683999156007,109.97683999156007,121.28075459214193,181.2509656403636,3.4658882648388256,282.9319388226023,-10.626350055238571,100.62635005523858,106.62797030707432,0.0,2.8717072592178217,0.018099270519830013,-5.45377253365092,176.31517783796463,21.45011583834587,2.1741700035359615,0.07993552339689412,23.980657019068236,0.003472222222222222
12,12,59465.181427390766,200.0,0,g,300.0,765511.9918761556,0.9,0.0,290.26879463043184,269.91073774313895,-0.06432829597062296,90.06432829597063,90.26879463043184,0.0,166.60414031030524,5.735433269141367,296.60248282246545,-21.66443401545783,111.66443401545783,123.6646543201266,181.34415685716593,3.424091898725054,284.40935251013957,-12.404875148601805,102.4048751486018,108.92463777326591,0.0,2.8702773262046533,0.018290388199655172,-5.462831774832269,18.95186256371603,0.0,0.0,0.0,0.0,0.0031481481481481486
13,13,59465.188047761134,0.0,0,g,300.0,2176.1328989725403,0.9,0.0,292.6586533134259,104.21348250327202,17.463832226922637,72.53616777307737,292.6586533134259,3.297858543609749,166.6100992322505,5.73294531985005,298.43585281547024,-23.32559989058726,113.32559989058726,126.04855408117538,181.43851729192806,3.382348327941922,285.9105598826787,-14.171068764703161,104.17106876470316,111.22013602149781,0.0,2.8688463892583655,0.01848262605311507,-5.471995839760586,176.32475042856075,21.50258884219464,1.9141779084538584,0.1082030888656136,32.46092665968408,0.003472222222222222
14,14,59465.19499220557,0.0,0,g,300.0,1505.9633253083982,0.9,0.0,295.165498084291,105.93732149198244,19.363688929383493,70.6363110706165,295.165498084291,2.990898284155577,166.61634981415935,5.730335507752277,300.41644123514055,-25.036977242246923,115.03697724224692,128.54914827013167,181.53873310484934,3.338620018274973,287.5142829952015,-16.00898839080384,106.00898839080384,113.62676497944167,0.0,2.867344342307308,0.01868547776229673,-5.481718515918697,176.32434481815517,21.5392404117912,1.8113890715645968,0.12496356345424219,37.48906903627265,0.003472222222222222
15,15,59465.20193665001,0.0,0,g,300.0,1084.2930684518983,0.9,0.0,297.67234285515786,107.70145418228198,21.247095600285526,68.75290439971448,297.67234285515786,2.740547962075624,166.6226003597273,5.727725618812877,302.46060078746353,-26.713480754036553,116.71348075403655,131.04974249543056,181.64019180763987,3.2949535491513537,289.1514581004761,-17.83019271782807,107.83019271782807,116.032151047518,0.0,2.8658412207920376,0.018889561672200295,-5.4915509297578415,176.32008245307114,21.5780825643594,1.7246872779789935,0.14284526188349472,42.853578565048416,0.003472222222222222
16,16,59465.20888109445,0.0,0,g,300.0,824.9726026445128,0.9,0.0,300.1791876260214,109.51085726263734,23.11183988939103,66.88816011060896,300.1791876260214,2.5330294439738736,166.62885086897438,5.725115653065074,304.5731978183219,-28.351800231474215,118.35180023147421,133.55033675704703,181.74286800897949,3.2513505227018658,290.8260178523148,-19.63291420792171,109.63291420792171,118.43631961704193,0.0,2.864337039646723,0.01909487760961759,-5.501489945484639,176.31188673750387,21.61749256677377,1.6506389857428858,0.16169263013742863,48.50778904122859,0.003472222222222222
17,17,59465.215825538886,0.0,0,g,300.0,660.4685905543304,0.9,0.0,302.6860323968866,111.37076168412115,24.955535610043164,65.04446438995683,302.6860323968866,2.358700558680482,166.63510134192074,5.72250561054205,306.7591201062088,-29.948370892147405,119.94837089214741,136.05093105496587,181.84673430484395,3.2078123255253095,292.5420541030604,-21.41526006325327,111.41526006325327,120.83929809204267,0.0,2.862831813513567,0.01930142539549934,-5.511532254338162,176.29969699124953,21.656480973971334,1.5867504381101472,0.18135003919764484,54.40501175929345,0.003472222222222222
18,18,59465.221658872215,240.0,0,g,300.0,586.5723767431591,0.9,0.0,304.7917820048342,253.49938245128808,19.699739485281178,70.30026051471881,64.7917820048342,2.9427237158973014,166.64035171115742,5.720313115514998,308.6555087975767,-31.254430533312203,121.2544305333122,138.15143029367678,181.93488027577496,3.171291203721284,294.018689490928,-22.895200979971214,112.89520097997121,122.85690172905925,0.0,2.861566626478106,0.019475877377036654,-5.520045081714905,58.11831934441468,21.539874860111777,1.7949154353194603,0.12733929760134377,38.20178928040313,0.0023611111111111116
19,19,59465.22860331665,240.0,0,g,300.0,798.0097948543095,0.9,0.0,307.29862677569935,255.23287429573384,17.80495745843432,72.19504254156568,67.29862677569935,3.237967627197321,166.64660211736452,5.717702931811659,310.9889225137791,-32.76396392470271,122.76396392470271,140.65202465833482,182.0408582498631,3.1278751984888205,295.82230230727373,-24.634627446555623,114.63462744655563,125.25776852583624,0.0,2.8600595147839667,0.019684691289733602,-5.5302682570806425,58.01107300720542,21.503168529313346,1.8944069706727933,0.11052973775393361,33.158921326180085,0.0023611111111111116
